DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST,DEP_TIME,DEP_DEL15,DEP_TIME_BLK,ARR_TIME,ARR_DEL15,CANCELLED,DIVERTED,DISTANCE,Unnamed: 21
3,4,OO,20304,OO,N154SY,5682,14771,1477104,SFO,11298,1129806,DFW,826.0,0.0,0800-0859,1426.0,0.0,0.0,0.0,1464.0,
18,5,YV,20378,YV,N88330,6353,12266,1226603,IAH,14100,1410005,PHL,1218.0,0.0,1200-1259,1622.0,0.0,0.0,0.0,1325.0,
2,3,NK,20416,NK,N684NK,380,11697,1169706,FLL,11433,1143302,DTW,2028.0,0.0,2000-2059,2322.0,0.0,0.0,0.0,1127.0,
22,2,DL,19790,DL,N939AT,1211,14747,1474703,SEA,14107,1410702,PHX,1540.0,1.0,1500-1559,1908.0,0.0,0.0,0.0,1107.0,
16,3,MQ,20398,MQ,N697AB,3941,13303,1330303,MIA,10994,1099402,CHS,826.0,0.0,0800-0859,1026.0,1.0,0.0,0.0,489.0,
16,3,NK,20416,NK,N637NK,406,15304,1530402,TPA,10529,1052906,BDL,1219.0,0.0,1200-1259,1457.0,0.0,0.0,0.0,1111.0,
11,5,UA,19977,UA,N76508,1297,12266,1226603,IAH,14843,1484306,SJU,954.0,0.0,0900-0959,1559.0,0.0,0.0,0.0,2007.0,
21,1,WN,19393,WN,N8556Z,234,12339,1233904,IND,11697,1169706,FLL,1632.0,0.0,1600-1659,1918.0,0.0,0.0,0.0,1005.0,
17,4,DL,19790,DL,N379DA,1011,14492,1449202,RDU,12892,1289208,LAX,651.0,0.0,0600-0659,952.0,1.0,0.0,0.0,2239.0,
23,3,AA,19805,AA,N206UW,685,11278,1127805,DCA,14107,1410702,PHX,1647.0,0.0,1600-1659,1957.0,0.0,0.0,0.0,1979.0,
23,3,WN,19393,WN,N484WN,225,14908,1490803,SNA,14893,1489302,SMF,1741.0,0.0,1700-1759,1903.0,0.0,0.0,0.0,404.0,
24,4,OO,20304,OO,N829SK,3766,13487,1348702,MSP,11986,1198603,GRR,1513.0,0.0,1500-1559,1735.0,0.0,0.0,0.0,408.0,
4,5,WN,19393,WN,N755SA,240,10599,1059904,BHM,11259,1125904,DAL,605.0,0.0,0600-0659,753.0,0.0,0.0,0.0,587.0,
18,5,UA,19977,UA,N24706,859,13930,1393007,ORD,14986,1498603,SRQ,1139.0,0.0,1100-1159,1519.0,0.0,0.0,0.0,1050.0,
18,5,DL,19790,DL,N874DN,2345,10397,1039707,ATL,10529,1052906,BDL,2140.0,0.0,2100-2159,2346.0,0.0,0.0,0.0,859.0,
12,6,MQ,20398,MQ,N684JW,4187,13930,1393007,ORD,14108,1410803,PIA,,,1600-1659,,,1.0,0.0,130.0,
21,1,B6,20409,B6,N348JB,1217,10721,1072102,BOS,12478,1247805,JFK,,,1500-1559,,,1.0,0.0,187.0,
7,1,OH,20397,OH,N508AE,5687,14100,1410005,PHL,11267,1126702,DAY,1924.0,0.0,1900-1959,2118.0,0.0,0.0,0.0,477.0,
22,2,AA,19805,AA,N913US,490,14100,1410005,PHL,13930,1393007,ORD,,,1700-1759,,,1.0,0.0,678.0,
29,2,AA,19805,AA,N519UW,2045,11057,1105703,CLT,12892,1289208,LAX,1758.0,0.0,1700-1759,2030.0,1.0,0.0,0.0,2125.0,
16,3,AS,19930,AS,N596AS,171,14107,1410702,PHX,10299,1029906,ANC,953.0,0.0,1000-1059,1343.0,0.0,0.0,0.0,2552.0,
20,7,AS,19930,AS,N528VA,1803,14771,1477104,SFO,14057,1405702,PDX,815.0,0.0,0800-0859,950.0,0.0,0.0,0.0,550.0,
19,6,WN,19393,WN,N7880D,2143,14893,1489302,SMF,10800,1080003,BUR,1616.0,0.0,1600-1659,1724.0,0.0,0.0,0.0,358.0,
22,2,DL,19790,DL,N986DL,2042,10397,1039707,ATL,11995,1199502,GSO,802.0,0.0,0800-0859,859.0,0.0,0.0,0.0,306.0,
6,7,MQ,20398,MQ,N658AE,3565,11995,1199502,GSO,13303,1330303,MIA,653.0,0.0,0700-0759,847.0,0.0,0.0,0.0,710.0,
25,5,AA,19805,AA,N660AW,1897,14100,1410005,PHL,11697,1169706,FLL,814.0,0.0,0800-0859,1153.0,1.0,0.0,0.0,992.0,
14,1,AS,19930,AS,N323AS,748,14747,1474703,SEA,15016,1501606,STL,1223.0,0.0,1200-1259,1828.0,0.0,0.0,0.0,1709.0,
4,5,NK,20416,NK,N656NK,721,14122,1412202,PIT,13204,1320402,MCO,817.0,0.0,0800-0859,1032.0,0.0,0.0,0.0,834.0,
12,6,WN,19393,WN,N561WN,5170,10821,1082106,BWI,14492,1449202,RDU,1829.0,0.0,1800-1859,1950.0,0.0,0.0,0.0,255.0,
11,5,9E,20363,9E,N928XJ,5368,12478,1247805,JFK,12451,1245102,JAX,2032.0,1.0,1900-1959,2250.0,0.0,0.0,0.0,828.0,
9,3,UA,19977,UA,N588UA,2044,14771,1477104,SFO,11618,1161802,EWR,1534.0,1.0,1500-1559,2336.0,1.0,0.0,0.0,2565.0,
13,7,DL,19790,DL,N988AT,2451,11057,1105703,CLT,10397,1039707,ATL,1741.0,0.0,1700-1759,1901.0,0.0,0.0,0.0,226.0,
15,2,WN,19393,WN,N552WN,2166,10397,1039707,ATL,13495,1349505,MSY,1341.0,0.0,1300-1359,1411.0,0.0,0.0,0.0,425.0,
31,4,AS,19930,AS,N592AS,77,11618,1161802,EWR,12892,1289208,LAX,1941.0,0.0,1900-1959,2246.0,0.0,0.0,0.0,2454.0,
18,5,OO,20304,OO,N262SY,3752,12953,1295304,LGA,11986,1198603,GRR,2350.0,1.0,2100-2159,200.0,1.0,0.0,0.0,618.0,
14,1,DL,19790,DL,N351NB,2432,12892,1289208,LAX,14747,1474703,SEA,1908.0,0.0,1900-1959,2149.0,0.0,0.0,0.0,954.0,
14,1,UA,19977,UA,N441UA,2381,13930,1393007,ORD,14679,1467903,SAN,1246.0,0.0,1200-1259,1510.0,0.0,0.0,0.0,1723.0,
23,3,AS,19930,AS,N318AS,645,14683,1468305,SAT,14747,1474703,SEA,1841.0,0.0,1800-1859,2132.0,0.0,0.0,0.0,1774.0,
29,2,WN,19393,WN,N419WN,1707,12191,1219102,HOU,13495,1349505,MSY,1927.0,0.0,1900-1959,2032.0,0.0,0.0,0.0,302.0,
7,1,YV,20378,YV,N510MJ,6012,10397,1039707,ATL,12264,1226402,IAD,1941.0,0.0,1900-1959,2119.0,0.0,0.0,0.0,534.0,
25,5,HA,19690,HA,N491HA,221,12402,1240203,ITO,12173,1217305,HNL,1210.0,0.0,1200-1259,1310.0,0.0,0.0,0.0,216.0,
1,2,WN,19393,WN,N407WN,748,13198,1319801,MCI,13232,1323202,MDW,,,1700-1759,,,1.0,0.0,405.0,
22,2,AA,19805,AA,N766US,2130,10721,1072102,BOS,11278,1127805,DCA,,,1000-1059,,,1.0,0.0,399.0,
5,6,OH,20397,OH,N720PS,5123,11641,1164102,FAY,11057,1105703,CLT,1234.0,0.0,1200-1259,1338.0,0.0,0.0,0.0,118.0,
16,3,WN,19393,WN,N7863A,723,10529,1052906,BDL,15304,1530402,TPA,641.0,0.0,0600-0659,933.0,0.0,0.0,0.0,1111.0,
21,1,AA,19805,AA,N129AA,256,12892,1289208,LAX,13930,1393007,ORD,832.0,0.0,0800-0859,1411.0,0.0,0.0,0.0,1744.0,
17,4,OO,20304,OO,N770SK,3801,11433,1143302,DTW,13232,1323202,MDW,1546.0,0.0,1500-1559,1612.0,0.0,0.0,0.0,228.0,
14,1,OO,20304,OO,N724SK,3205,11298,1129806,DFW,10747,1074706,BRO,2229.0,1.0,2100-2159,7.0,1.0,0.0,0.0,482.0,
25,5,DL,19790,DL,N189DN,587,13204,1320402,MCO,14869,1486903,SLC,725.0,0.0,0700-0759,1036.0,0.0,0.0,0.0,1931.0,
11,5,OO,20304,OO,N614SK,3578,14570,1457002,RNO,14869,1486903,SLC,1024.0,0.0,1000-1059,1304.0,0.0,0.0,0.0,422.0,
17,4,OO,20304,OO,N156SY,5744,12892,1289208,LAX,14689,1468902,SBA,2245.0,0.0,2200-2259,2334.0,0.0,0.0,0.0,89.0,
19,6,UA,19977,UA,N75861,2142,13204,1320402,MCO,13930,1393007,ORD,717.0,0.0,0700-0759,919.0,0.0,0.0,0.0,1005.0,
